stop_id,service_count
783799,504
783800,46
783802,44
783805,836
783806,42
783807,42
783808,42
783810,68
783811,60
783813,50
783814,64
783821,56
783822,178
783824,42
783825,42
783827,96
783828,46
783831,52
783832,52
783833,52
783834,52
783835,52
783836,52
783838,40
783840,40
783842,30
783845,54
783846,56
783847,56
783854,38
783855,38
783856,38
783858,60
783861,42
783864,52
783895,40
783896,30
783902,110
783903,72
783907,38
783909,36
783910,38
783911,74
795058,204
795059,92
795060,106
795061,50
795062,106
795063,50
795067,64
795071,42
795079,42
795082,42
795086,42
795087,42
795089,42
795090,38
795094,42
795105,42
795107,42
795109,42
795115,88
795116,42
795124,80
795131,42
795138,42
795146,42
795153,42
795158,42
795161,42
795162,42
795163,60
795165,60
795166,60
795167,60
795168,60
795169,60
795170,64
795171,64
795172,64
795173,64
795175,38
795177,38
795179,38
795180,42
795185,38
795186,38
795191,38
795197,38
795204,38
795214,74
795223,74
795228,38
795232,38
795246,38
795247,38
795249,42
795252,38
795254,38
795258,38
795271,42
795278,106
795280,46
795281,60
795283,148
795284,52
795285,52
795286,52
795287,52
795288,52
795296,52
795297,52
795299,52
795300,52
795301,52
795302,52
795303,52
795305,52
795306,52
795307,52
795308,52
795309,52
795310,52
795312,52
795313,52
795318,64
795324,64
795327,64
795330,64
795336,64
795339,64
795342,64
795345,14
795347,14
795348,14
795354,64
795358,64
795362,64
795364,50
795365,64
795366,30
795367,30
795372,64
795373,60
795377,60
795378,90
795379,30
795384,30
795393,30
795397,30
795399,30
795404,30
795405,30
795406,60
795410,60
795414,60
795424,60
795427,60
795430,60
795435,46
795436,60
795439,60
795442,60
795448,60
795453,60
795600,158
795602,66
795603,92
795605,38
795610,44
795617,44
795628,54
795630,54
795635,54
795638,54
795642,54
795646,92
795650,54
795651,38
795652,56
795653,92
795654,54
795658,90
795660,54
795663,54
795664,54
795668,54
795671,54
795676,54
795678,54
795696,46
795701,46
795703,90
795707,90
795709,72
795711,42
795714,30
795718,42
795719,42
795722,42
795729,42
795734,42
795736,42
795737,42
795740,42
795743,42
795745,42
795746,42
795748,42
795749,42
795752,42
795755,42
795759,42
795761,42
795764,42
795765,42
795768,42
795769,42
795771,42
795775,42
795777,42
795779,42
795780,42
795784,42
795788,42
795789,42
795797,42
795798,42
795803,42
795806,42
795807,42
795809,42
795817,42
795823,42
795824,30
795828,72
795829,72
795830,42
795831,42
795832,46
795837,50
795840,50
795845,50
795851,50
795855,50
795857,50
795860,50
795861,50
795866,50
795867,50
795873,50
795875,88
795877,38
795879,50
795882,88
795886,50
795890,88
795900,46
795902,46
795903,46
795904,46
795905,46
795908,50
795911,50
795913,50
795915,50
795917,50
795919,50
795924,82
795928,46
795932,82
795939,82
795944,46
795948,46
795950,50
795951,46
795953,46
795954,46
795955,50
795959,46
795960,46
795964,46
795970,46
795976,46
795983,52
795984,90
795985,162
795986,52
795987,52
795988,52
795989,52
795990,52
795991,90
795992,52
795993,52
795994,90
795995,52
795996,52
795997,52
795998,52
795999,52
796000,52
796001,52
796002,52
796003,52
796004,52
796005,52
796006,52
796007,52
796008,52
796009,52
796010,52
796011,52
796012,52
796013,52
796014,52
796015,52
796016,52
796017,52
796018,52
796019,52
796021,52
796022,52
796023,52
796024,52
796025,52
796026,52
796027,52
796028,52
796029,52
796030,52
796031,52
796032,52
796033,52
796034,52
796035,52
796036,52
796037,52
796038,52
796039,52
796040,52
796041,52
796042,52
796043,52
796044,52
796045,52
796046,52
796047,52
796048,52
796049,52
796050,52
796051,124
796052,88
796053,52
796054,52
796055,88
796056,52
796057,52
796058,124
796059,52
796060,52
796061,88
796062,52
796063,124
796064,88
796065,90
796066,52
796168,106
796169,40
796170,40
796171,40
796172,40
796173,40
796174,40
796179,40
796181,40
796182,40
796183,40
796184,40
796185,40
796186,40
796187,40
796188,40
796189,40
796190,40
796191,40
796192,40
796193,40
796194,40
796195,40
796196,40
796197,40
796198,40
796199,40
796200,40
796201,40
796202,40
796203,40
796204,40
796205,40
796206,40
796207,40
796208,40
796209,40
796210,40
796211,40
796212,40
796213,40
796214,40
796215,40
796216,40
796217,40
796218,40
796219,40
796220,40
796221,40
796222,40
796230,40
796231,40
796232,40
796233,40
796234,40
796235,40
796236,40
796237,40
796238,40
796239,40
796240,40
796243,40
796244,40
796245,40
796246,40
796247,40
796248,40
796249,40
796250,40
796251,40
796252,40
796253,40
796254,40
796255,40
796256,40
796257,40
796258,40
796259,40
796260,40
796261,40
796262,40
796263,40
796264,40
796265,40
796266,40
796276,40
796283,40
796284,106
796285,106
796286,40
796287,40
796288,36
796308,42
796309,30
796312,30
796317,30
796320,30
796325,30
796326,30
796328,30
796330,30
796334,30
796337,30
796339,30
796340,30
796341,30
796343,30
796346,30
796363,30
796364,30
796371,30
796379,30
796382,30
796383,30
796387,30
796391,30
796396,30
796399,30
796400,54
796401,94
796403,54
796412,54
796414,54
796416,54
796417,54
796418,54
796422,54
796423,54
796425,54
796431,54
796434,88
796435,110
796436,110
796437,38
796438,190
796439,54
796440,144
796441,214
796445,54
796451,54
796457,54
796469,56
796477,56
796481,56
796486,56
796489,56
796500,44
796504,44
796505,44
796506,44
796509,44
796514,44
796538,46
796540,46
796543,46
796546,84
796548,282
796550,54
796554,38
796555,42
796558,90
796559,54
796583,36
796586,54
79613,44
796617,44
796618,44
796624,44
796628,44
796635,44
796639,46
796644,46
796648,46
796653,46
796654,46
796656,36
796660,46
796661,36
796668,36
796677,72
796679,72
796681,72
796685,72
796686,72
796687,72
796688,72
796689,72
796692,72
796693,72
796701,40
796708,40
796715,66
796717,72
796719,72
796724,66
796725,92
796731,66
796735,66
796746,66
796776,66
796777,66
796779,6
796780,6
796783,66
796787,138
796790,72
796794,72
796798,72
796802,72
796809,42
796913,38
796959,38
796961,38
796962,36
796967,36
796973,36
796979,36
796982,36
796983,38
796984,38
796989,74
796991,38
796992,74
796998,36
797004,36
798984,42
800842,52
800843,52
811194,42
811197,42
811198,42
2332157,38
2332158,38
2332160,38
2332161,38
2332162,38
2332163,42
2332164,38
2332167,38
2332168,46
2332169,84
2332170,38
2332172,38
2332174,38
2332176,38
2332177,38
2332178,126
2332179,36
2332181,36
2332182,74
2332183,36
2332232,30
2332234,30
2332235,30
2332237,30
2332238,30
2332240,30
2332241,30
2332242,30
2332243,30
2332245,30
2332246,30
2332248,30
2332250,30
2332257,42
2332259,42
2332260,42
2332261,42
2332262,42
2332263,42
2332265,42
2332266,42
2332267,42
2332281,54
2332284,40
2332285,40
2332286,42
2332287,42
2332288,84
2332289,42
2332290,84
2332291,6
2332292,6
2332293,6
2332294,72
2332295,72
2332297,72
2332298,36
2332299,38
2332300,36
2332301,38
2332302,38
2332303,38
2332304,38
2332305,38
2332306,38
2332325,54
2332326,54
2332327,54
2332333,42
2332400,46
2332401,46
2332402,46
2332403,46
2332404,46
2388568,50
2388569,88
2388572,54
2388573,54
2391806,38
2391807,36
2506625,66
2506626,66
